model,prompts,task_id,repeat,ok,error,rounds,consensus,roster,plan_steps,requirements,requirements_covered,roles_defined_pct,verification_step,summariser_ok,derived_correct,requests_final,request_names,failed_checks,last_verdicts,truncated,tokens,calls,latency_ms
gemini-3.1-flash-lite,d19,db-choice,0,True,,3,False,4,5,0,,0,,False,True,0,,roles_fully_defined | summariser,None | None,0,17103,9,19730
gemini-3.1-flash-lite,d19,db-choice,1,True,,3,False,4,5,0,,0,,False,True,0,,roles_fully_defined | summariser,None | None,0,18401,9,21168
gemini-3.1-flash-lite,d19,db-choice,2,True,,3,False,4,5,0,,0,,False,True,1,Cloud Pricing API Access,roles_fully_defined | summariser,None | None,0,19208,9,21399
gemini-3.1-flash-lite,d19,clickstream-pipeline,0,True,,3,False,4,4,0,,0,,False,False,1,Cloud Cost Estimator,roles_fully_defined | summariser,None | None,0,19711,9,22743
gemini-3.1-flash-lite,d19,clickstream-pipeline,1,True,,3,False,4,4,0,,0,,False,False,1,Cloud Cost Estimator,roles_fully_defined | summariser,None | None,0,18931,9,21299
gemini-3.1-flash-lite,d19,clickstream-pipeline,2,True,,3,False,4,4,0,,0,,False,False,0,,roles_fully_defined | summariser,None | None,0,20084,9,23513
gemini-3.1-flash-lite,d19,ebike-us-entry,0,True,,3,False,4,3,0,,0,,False,True,0,,roles_fully_defined | summariser,None | None,0,17933,9,20500
gemini-3.1-flash-lite,d19,ebike-us-entry,1,True,,3,False,3,3,0,,0,,False,True,0,,roles_fully_defined | summariser,None | None,0,17410,9,18651
gemini-3.1-flash-lite,d19,ebike-us-entry,2,True,,3,False,4,3,0,,0,,False,True,0,,roles_fully_defined | summariser,None | None,0,18206,9,20542
gemini-3.1-flash-lite,d24,db-choice,0,True,,2,True,3,3,6,True,100,False,True,True,4,Database Sandbox | Market Research,verification_step,APPROVE | APPROVE,0,17213,6,21854
gemini-3.1-flash-lite,d24,db-choice,1,True,,3,True,3,3,6,True,100,False,True,True,4,Database Sandbox | Market Research Tool,verification_step,APPROVE | APPROVE,0,28715,9,32553
gemini-3.1-flash-lite,d24,db-choice,2,True,,2,True,3,2,6,True,100,False,True,True,5,Cloud Pricing Calculator | Database Sandbox | Web Research,verification_step,APPROVE | APPROVE,0,16833,6,21801
