model,prompts,gate,task_id,repeat,ok,error,rounds,consensus,roster,plan_steps,requirements,requirements_covered,roles_defined_pct,verification_step,independent_verification,summariser_ok,derived_correct,gate_hits,hard_failed,requests_final,request_names,canonical_names,unmapped_names,failed_checks,last_verdicts,truncated,truncation_retries,reasoning_tokens,tokens,calls,latency_ms
gemini-3.1-flash-lite,d19,False,db-choice,0,True,,3,False,4,5,0,,0,,,False,True,0,summariser,0,,,,roles_fully_defined | summariser,None | None,0,0,0,17622,9,20903
gemini-3.1-flash-lite,d19,False,db-choice,1,True,,3,False,4,4,0,,0,,,False,True,0,summariser,2,Cloud Pricing API | Schema Generator,Schema Generator | pricing_api,Schema Generator,roles_fully_defined | summariser,None | None,0,0,0,23221,9,26647
gemini-3.1-flash-lite,d19,False,db-choice,2,True,,3,False,3,4,0,,0,,,False,True,0,summariser,0,,,,roles_fully_defined | summariser,None | None,0,0,0,17563,9,20029
gemini-3.1-flash-lite,d19,False,clickstream-pipeline,0,True,,3,False,4,4,0,,0,,,True,False,0,,0,,,,roles_fully_defined,None | None,0,0,0,17650,9,20537
gemini-3.1-flash-lite,d19,False,clickstream-pipeline,1,True,,3,False,4,4,0,,0,,,True,False,0,,1,Cloud Cost Estimator,pricing_api,,roles_fully_defined,None | None,0,0,0,18260,9,18957
gemini-3.1-flash-lite,d19,False,clickstream-pipeline,2,True,,3,False,4,4,0,,0,,,True,False,0,,1,Cloud Cost Estimator,pricing_api,,roles_fully_defined,None | None,0,0,0,19142,9,20899
gemini-3.1-flash-lite,d19,False,ebike-us-entry,0,True,,3,False,4,4,0,,0,,,False,True,0,summariser,0,,,,roles_fully_defined | summariser,None | None,0,0,0,18030,9,18853
gemini-3.1-flash-lite,d19,False,ebike-us-entry,1,True,,3,False,4,4,0,,0,,,False,False,0,summariser,0,,,,roles_fully_defined | summariser,None | None,0,0,0,18323,9,20558
gemini-3.1-flash-lite,d19,False,ebike-us-entry,2,True,,3,False,4,3,0,,0,,,False,True,0,summariser,0,,,,roles_fully_defined | summariser,None | None,0,0,0,17704,9,19133
gemini-3.1-flash-lite,d24,False,db-choice,0,True,,2,True,3,3,6,True,100,False,False,True,True,0,independent_verification,7,Cloud Pricing API | Cloud pricing API | Database sandbox | Load Testing Tool | Load testing tool | Web Search | Web search,database_sandbox | load_testing | pricing_api | web_search,,tools_accounted | verification_step | independent_verification,APPROVE | APPROVE,0,0,0,17577,6,22188
gemini-3.1-flash-lite,d24,False,db-choice,1,True,,3,False,3,3,6,True,100,False,False,True,True,0,independent_verification,2,Database Sandbox | Market Research Tool,database_sandbox | web_search,,verification_step | independent_verification,REVISE | APPROVE,0,0,0,27630,9,28817
gemini-3.1-flash-lite,d24,False,db-choice,2,True,,3,True,3,3,6,True,100,False,False,True,True,0,independent_verification,3,Cloud-based sandbox environment | Multi-region cloud pricing calculators | Synthetic Data Generation & Load Testing Tool,Cloud-based sandbox environment | Multi-region cloud pricing calculators | Synthetic Data Generation & Load Testing Tool,Cloud-based sandbox environment | Multi-region cloud pricing calculators | Synthetic Data Generation & Load Testing Tool,verification_step | independent_verification,APPROVE | APPROVE,0,0,0,29958,9,34259
gemini-3.1-flash-lite,d24,False,clickstream-pipeline,0,True,,3,True,3,3,8,True,100,False,False,False,True,0,independent_verification | summariser,2,Data Sandbox | Monitoring Dashboard,Monitoring Dashboard | database_sandbox,Monitoring Dashboard,summariser | verification_step | independent_verification,APPROVE | APPROVE,0,0,0,28888,9,32312
gemini-3.1-flash-lite,d24,False,clickstream-pipeline,1,True,,3,False,3,3,8,True,100,True,False,True,True,0,independent_verification,1,Code Sandbox,Code Sandbox,Code Sandbox,independent_verification,REVISE | APPROVE,0,0,0,28271,9,31126
gemini-3.1-flash-lite,d24,False,clickstream-pipeline,2,True,,2,True,2,3,8,True,100,True,False,False,True,0,independent_verification | summariser,1,SQL Sandbox,database_sandbox,,summariser | independent_verification,APPROVE | APPROVE,0,0,0,16270,6,19744
gemini-3.1-flash-lite,d24,False,ebike-us-entry,0,True,,2,True,3,3,6,True,100,False,True,True,True,0,,5,Global Trade Compliance Database | Market research tools | Regulatory database access | Web Research/Search | Web search,Global Trade Compliance Database | Market research tools | Regulatory database access | Web Research/Search | web_search,Global Trade Compliance Database | Market research tools | Regulatory database access | Web Research/Search,tools_accounted | verification_step,APPROVE | APPROVE,0,0,0,17761,6,20491
gemini-3.1-flash-lite,d24,False,ebike-us-entry,1,True,,3,False,3,3,6,True,100,False,False,False,True,0,independent_verification | summariser,6,Spreadsheet | US Customs Tariff Database | US Customs Tariff Database Access | Web Search,US Customs Tariff Database | US Customs Tariff Database Access | spreadsheet | web_search,US Customs Tariff Database | US Customs Tariff Database Access,summariser | tools_accounted | verification_step | independent_verification,REVISE | APPROVE,0,0,0,28840,9,29399
gemini-3.1-flash-lite,d24,False,ebike-us-entry,2,True,,2,True,3,3,6,True,100,True,False,True,True,0,independent_verification,4,Financial Modeling Tool | Spreadsheet software | Trade Compliance Database | Web search,Financial Modeling Tool | Trade Compliance Database | spreadsheet | web_search,Financial Modeling Tool | Trade Compliance Database,tools_accounted | independent_verification,APPROVE | APPROVE,0,0,0,16759,6,19031
gemini-3.1-flash-lite,d24,True,db-choice,0,True,,3,False,3,3,6,True,100,False,False,True,True,3,independent_verification,3,Database Sandbox | Market Research Tool,database_sandbox | web_search,,verification_step | independent_verification,REVISE | APPROVE,0,0,0,27553,9,29826
gemini-3.1-flash-lite,d24,True,db-choice,1,True,,3,False,4,4,6,True,100,False,False,True,True,3,independent_verification,4,Cloud Pricing API | Database sandbox | Legal documentation search | Performance testing suite,Legal documentation search | Performance testing suite | database_sandbox | pricing_api,Legal documentation search | Performance testing suite,tools_accounted | verification_step | independent_verification,REVISE | APPROVE,0,0,0,30339,9,34321
gemini-3.1-flash-lite,d24,True,db-choice,2,True,,3,False,3,3,6,True,100,False,False,True,True,3,independent_verification,5,Cloud pricing calculator | Cloud sandbox environment | Web research,Cloud sandbox environment | pricing_api | web_search,Cloud sandbox environment,verification_step | independent_verification,APPROVE | APPROVE,0,0,0,29562,9,32110
gemini-3.1-flash-lite,d24,True,clickstream-pipeline,0,True,,3,False,3,4,8,True,100,True,False,True,True,3,independent_verification,3,Calc | Python Interpreter | SQL Sandbox,Calc | code_execution | database_sandbox,Calc,tools_accounted | independent_verification,APPROVE | APPROVE,0,0,0,26923,9,30007
gemini-3.1-flash-lite,d24,True,clickstream-pipeline,1,True,,2,True,3,3,8,True,100,True,True,True,True,1,,3,Calculator | Code Execution Environment | Warehouse Sandbox,Calculator | Warehouse Sandbox | code_execution,Calculator | Warehouse Sandbox,tools_accounted,APPROVE | APPROVE,0,0,0,18074,6,21436
gemini-3.1-flash-lite,d24,True,clickstream-pipeline,2,True,,3,False,3,4,8,True,100,True,False,True,True,2,independent_verification,5,Calculator | Code Editor | Compression Profiler | Orchestration Simulator | Warehouse Sandbox,Calculator | Code Editor | Compression Profiler | Orchestration Simulator | Warehouse Sandbox,Calculator | Code Editor | Compression Profiler | Orchestration Simulator | Warehouse Sandbox,tools_accounted | independent_verification,APPROVE | APPROVE,0,0,0,29017,9,31122
gemini-3.1-flash-lite,d24,True,ebike-us-entry,0,True,,3,False,3,4,7,True,100,False,False,True,True,3,independent_verification,5,Market Data Tools | Trade Database | Web Search,Market Data Tools | trade_database | web_search,Market Data Tools,tools_accounted | verification_step | independent_verification,APPROVE | APPROVE,0,0,0,28769,9,32163
gemini-3.1-flash-lite,d24,True,ebike-us-entry,1,True,,2,True,4,3,6,True,100,True,True,True,True,1,,7,Regulatory database access | Spreadsheet software | Web Search | Web search,Regulatory database access | spreadsheet | web_search,Regulatory database access,tools_accounted,APPROVE | APPROVE,0,0,0,18684,6,21397
gemini-3.1-flash-lite,d24,True,ebike-us-entry,2,True,,2,True,3,3,6,True,100,False,True,True,True,0,,1,US Trade & Safety Database Access,US Trade & Safety Database Access,US Trade & Safety Database Access,verification_step,APPROVE | APPROVE,0,0,0,17217,6,20210
gemini-3.5-flash,d19,False,db-choice,0,True,,3,False,4,4,0,,0,,,True,True,0,,4,web_search,web_search,,roles_fully_defined,None | None,0,0,12109,29333,9,86907
gemini-3.5-flash,d19,False,db-choice,1,True,,3,False,4,4,0,,0,,,True,True,0,,2,Cloud_Pricing_API | Schema_Sandbox_Validator,Schema_Sandbox_Validator | pricing_api,Schema_Sandbox_Validator,roles_fully_defined,None | None,0,0,11790,32152,9,88519
gemini-3.5-flash,d19,False,db-choice,2,True,,3,False,4,4,0,,0,,,True,True,0,,2,code_interpreter | web_search,code_interpreter | web_search,code_interpreter,roles_fully_defined,None | None,0,0,11123,31006,9,88182
gemini-3.5-flash,d19,False,clickstream-pipeline,0,True,,3,False,4,4,0,,0,,,True,False,0,,1,python_interpreter,code_execution,,roles_fully_defined,None | None,0,0,11528,26008,9,79978
gemini-3.5-flash,d19,False,clickstream-pipeline,1,True,,3,False,4,4,0,,0,,,True,False,0,,0,,,,roles_fully_defined,None | None,0,0,14561,24885,9,87458
gemini-3.5-flash,d19,False,clickstream-pipeline,2,True,,3,False,4,4,0,,0,,,False,False,0,summariser,1,python_interpreter,code_execution,,roles_fully_defined | summariser,None | None,0,0,11501,25212,9,79463
gemini-3.5-flash,d19,False,ebike-us-entry,0,True,,3,False,4,4,0,,0,,,True,True,0,,1,web_search,web_search,,roles_fully_defined,None | None,0,0,12621,30680,9,88740
gemini-3.5-flash,d19,False,ebike-us-entry,1,True,,3,False,4,4,0,,0,,,True,True,0,,1,web_search,web_search,,roles_fully_defined,None | None,0,0,14098,31469,9,94661
gemini-3.5-flash,d19,False,ebike-us-entry,2,True,,3,False,4,4,0,,0,,,True,True,0,,0,,,,roles_fully_defined,None | None,0,0,14497,29391,9,99984
gemini-3.5-flash,d24,False,db-choice,0,True,,1,True,4,5,9,True,100,False,False,True,True,0,independent_verification,2,database_sandbox_testing | web_search_benchmarks_and_pricing,database_sandbox_testing | web_search_benchmarks_and_pricing,database_sandbox_testing | web_search_benchmarks_and_pricing,verification_step | independent_verification,APPROVE | APPROVE,0,0,3698,17763,3,44449
