task_id,cell,run_id,figure_as_written
db-choice,3.1-flash-lite flat,0a394b49-33f6-4be9-9e62-1b9bf77e942a,22
db-choice,3.1-flash-lite flat,0a394b49-33f6-4be9-9e62-1b9bf77e942a,2024
db-choice,3.1-flash-lite flat,1e83854f-fe3d-41c4-a5f9-3288dd1b56cb,22
db-choice,3.1-flash-lite flat,1e83854f-fe3d-41c4-a5f9-3288dd1b56cb,2024
ebike-us-entry,3.1-flash-lite flat,31ade5a6-79f7-4650-a601-414cf8ed6003,22
ebike-us-entry,3.1-flash-lite flat,31ade5a6-79f7-4650-a601-414cf8ed6003,2024
ebike-us-entry,3.1-flash-lite flat,52f8eee2-1f1a-4402-8ab8-17c1f04950d2,22
ebike-us-entry,3.1-flash-lite flat,52f8eee2-1f1a-4402-8ab8-17c1f04950d2,2024
ebike-us-entry,3.1-flash-lite flat,c2b22974-426b-4773-a215-c229d699737c,22
ebike-us-entry,3.1-flash-lite flat,c2b22974-426b-4773-a215-c229d699737c,2024
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,100% accuracy
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,1 Year
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,60 GB/day
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,60 GB/day
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,365 days
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,21.9 TB
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,4.4 TB
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,$100/month
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,3 days
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,1 DAU
clickstream-pipeline,3.1-flash-lite boss_reviewers,501f022c-f762-471a-8df6-040540b1b749,1 for
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,1 Year
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,60GB/day
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,21.9 TB
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,1 reduction
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,4.4 TB
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,$100/month
clickstream-pipeline,3.1-flash-lite boss_reviewers,91a52b88-85ce-42f1-938e-778286cc5369,128MB-256MB
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,1 Year
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,60 GB/day
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,12 GB/day
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,4.38 TB
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,"$1,200/year"
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,"$3,000/year"
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,00 AM
clickstream-pipeline,3.1-flash-lite boss_reviewers,d74801e6-0a27-4e9d-992d-559b3de50563,60 minutes
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,44
db-choice,3.1-flash-lite boss_reviewers,1c8e2cf9-9709-471a-b53f-27a914e75bcc,46
